"Date","Team","Opp","GS","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GSv2"
"2015-05-23","SEA","@TOR","1","1","0","3.00","1","1","0","0","0","0","0","6.0","23","4","2","2","1","3","0","0","1","0","4","52"
"2015-05-17","SEA","BOS","1","1","0","0.00","1","1","0","0","0","0","0","8.0","30","5","0","0","0","2","0","0","0","0","2","74"
"2015-05-12","SEA","SDP","1","1","0","0.00","1","1","0","0","0","0","0","6.0","25","3","0","0","0","5","0","0","0","0","5","63"
"2015-05-05","SEA","@LAA","1","0","0","2.57","1","1","0","0","0","0","0","7.0","28","4","2","2","1","3","1","0","1","0","4","58"
"2015-04-30","SEA","@HOU","1","0","0","2.57","1","1","0","0","0","0","0","7.0","27","5","2","2","0","2","0","0","0","0","7","67"
"2015-04-25","SEA","MIN","1","0","1","1.93","1","1","0","0","0","0","0","4.2","25","5","4","1","1","3","0","0","0","0","7","39"
"2015-04-19","SEA","TEX","1","0","0","23.62","1","1","0","0","0","0","0","2.2","19","10","7","7","1","0","0","0","0","0","1","8"
"2015-04-13","SEA","@LAD","1","0","0","7.11","1","1","0","0","0","0","0","6.1","27","6","5","5","1","2","0","0","0","0","6","45"
"2015-04-07","SEA","LAA","1","0","1","3.00","1","1","0","0","0","0","0","6.0","23","4","2","2","1","1","0","0","1","0","5","57"
"2014-09-27","SEA","LAA","1","0","0","1.59","1","1","0","0","0","0","0","5.2","25","4","1","1","0","3","1","1","2","0","4","58"
"2014-09-22","SEA","@TOR","1","0","1","27.00","1","1","0","0","0","0","0","2.2","20","7","9","8","0","6","0","0","1","0","1","1"
"2014-09-17","SEA","@LAA","1","0","1","4.05","1","1","0","0","0","0","0","6.2","25","4","3","3","0","1","1","0","0","0","8","66"
"2014-09-12","SEA","OAK","1","1","0","3.00","1","1","0","0","0","0","0","6.0","27","4","2","2","0","3","0","0","1","0","8","61"
"2014-09-07","SEA","@TEX","1","0","1","1.50","1","1","0","0","0","0","0","6.0","23","5","1","1","0","2","0","0","0","0","3","59"
"2014-09-02","SEA","@OAK","1","1","0","2.35","1","1","0","0","0","0","0","7.2","26","4","2","2","0","3","0","0","1","0","2","65"
